Title SWINGIN1
Length 31
voices 3
Tempo 240
Orders 1B 1C 19 19 17 18 00 01 02 03 04 05 06 07 10 08 09 0A 0B 0C 0D 0E 0F 11 12 13 14 11 12 13 1D 1E 

Order 1B

00 | F#2 ... | E-3 110 | E-7 F06
24 | ... 442 | C#1 ... | D#6 F05
25 | ... 442 | ... ... | === ...
26 | ... 442 | C#2 ... | G#5 F03
27 | ... 442 | C#1 ... | === ...
28 | ... 442 | C-4 220 | D#5 F05
29 | ... 442 | C-3 220 | === ...
2A | D#4 ... | G#4 ... | B-4 F03
2B | ... ... | ... ... | ... ...
2C | F#5 442 | C#2 ... | G#5 F05
2D | ... 442 | ... ... | === ...
2E | D#4 ... | G#4 ... | B-4 F03
2F | ... ... | ... ... | ... ...
30 | G#5 ... | F-3 210 | D#5 F05
31 | ... 442 | C-1 320 | === ...
32 | ... 442 | C#1 ... | C#6 F03
33 | F#5 ... | ... ... | === ...
34 | ... 442 | C#2 ... | G#5 F05
35 | ... 442 | ... ... | === ...
36 | D#5 ... | ... ... | D#5 F03
37 | ... ... | C#1 ... | === ...
38 | F#5 ... | C-4 220 | C#6 F05
39 | ... 442 | C-3 220 | === ...
3A | ... 442 | G#2 ... | G#5 F03
3B | D#5 ... | ... ... | === ...
3C | ... 442 | C#2 110 | D#5 F05
3D | ... 442 | C#3 320 | === ...
3E | C#5 ... | C#4 ... | C#6 F03
3F | ... ... | C#3 ... | === ...

Order 0F

00 | C#5 ... | F-3 210 | D#5 F05
01 | D#5 304 | C-1 320 | === ...
02 | ... 304 | G#2 ... | B-5 F03
03 | ... 304 | ... ... | === ...
04 | ... 304 | G#1 ... | G#5 F05
05 | ... 304 | ... ... | === ...
06 | ... 304 | G#2 ... | D#5 F03
07 | D#5 442 | G#1 ... | === ...
08 | ... 442 | C-4 220 | B-5 F05
09 | ... 442 | C-3 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | D#5 442 | G#2 ... | D#5 F05
0D | ... 442 | ... ... | === ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | D#5 442 | F-3 210 | D#5 F05
11 | ... 442 | C-1 320 | === ...
12 | ... 442 | G#1 ... | A#5 F03
13 | ... 442 | ... ... | === ...
14 | ... 442 | G#2 ... | G#5 F05
15 | ... 442 | ... ... | === ...
16 | D#5 442 | ... ... | D#5 F03
17 | === 442 | G#1 ... | === ...
18 | D#5 442 | C-4 220 | A#5 F05
19 | === 442 | C-3 220 | === ...
1A | D#5 442 | G#2 204 | G#5 F03
1B | === 442 | G#1 304 | === ...
1C | D#5 442 | ... 304 | D#5 F05
1D | === 442 | ... 304 | === ...
1E | D#5 442 | ... 310 | A#5 F03
1F | === 442 | ... ... | === ...
20 | D#5 442 | F-3 210 | G#5 F05
21 | === 442 | C-1 320 | === ...
22 | D#5 442 | G#2 ... | D#5 F03
23 | === 442 | ... ... | === ...
24 | D#5 442 | G#1 ... | D#6 F05
25 | === 442 | ... ... | === ...
26 | D#5 442 | G#2 ... | G#5 F03
27 | === 442 | G#1 ... | === ...
28 | ... 442 | C-4 220 | D#5 F05
29 | ... 442 | C-3 220 | === ...
2A | D#4 ... | G#4 ... | B-4 F03
2B | ... ... | ... ... | ... ...
2C | D#5 442 | G#2 ... | G#5 F05
2D | ... 442 | ... ... | === ...
2E | D#4 ... | G#4 ... | B-4 F03
2F | ... ... | ... ... | ... ...
30 | F#5 442 | F-3 210 | D#5 F05
31 | D#5 442 | C-1 320 | === ...
32 | C#5 442 | G#1 ... | C#6 F03
33 | D#5 442 | ... ... | === ...
34 | C#5 442 | G#2 ... | G#5 F05
35 | B-4 442 | ... ... | === ...
36 | A#4 442 | ... ... | D#5 F03
37 | B-4 442 | G#1 ... | === ...
38 | A#4 442 | C-4 220 | C#6 F05
39 | G#4 442 | C-3 220 | === ...
3A | A#4 442 | G#2 ... | G#5 F03
3B | G#4 442 | ... ... | === ...
3C | F#4 442 | G#2 110 | D#5 F05
3D | G#4 442 | G#3 320 | === ...
3E | F#4 442 | G#4 ... | C#6 F03
3F | D#4 442 | G#3 ... | === ...

Order 11

00 | D#4 ... | F-3 210 | D#5 F05
01 | === ... | C-1 320 | === ...
02 | G#4 ... | G#2 ... | B-5 F03
03 | === ... | ... ... | === ...
04 | A#4 ... | G#1 ... | G#5 F05
05 | === ... | ... ... | === ...
06 | B-4 ... | G#2 ... | D#5 F03
07 | === ... | G#1 ... | === ...
08 | D#5 ... | C-4 220 | B-5 F05
09 | === ... | C-3 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | A#4 ... | G#2 ... | D#5 F05
0D | === ... | ... ... | === ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | F#5 ... | F-3 210 | D#5 F05
11 | === ... | C-1 320 | === ...
12 | G#4 ... | G#1 ... | A#5 F03
13 | === ... | ... ... | === ...
14 | A#4 ... | G#2 ... | G#5 F05
15 | === ... | ... ... | === ...
16 | B-4 ... | ... ... | D#5 F03
17 | === ... | G#1 ... | === ...
18 | D#5 ... | C-4 220 | A#5 F05
19 | === ... | C-3 220 | === ...
1A | G#4 ... | G#2 204 | G#5 F03
1B | === ... | G#1 304 | === ...
1C | A#4 ... | ... 304 | D#5 F05
1D | === ... | ... 304 | === ...
1E | B-4 ... | ... 310 | A#5 F03
1F | === ... | ... ... | === ...
20 | D#4 ... | F-3 210 | G#5 F05
21 | === ... | C-1 320 | === ...
22 | G#4 ... | G#2 ... | D#5 F03
23 | === ... | ... ... | === ...
24 | A#4 ... | G#1 ... | D#6 F05
25 | === ... | ... ... | === ...
26 | B-4 ... | G#2 ... | G#5 F03
27 | === ... | G#1 ... | === ...
28 | D#5 ... | C-4 220 | D#5 F05
29 | === ... | C-3 220 | === ...
2A | D#4 ... | G#4 ... | B-4 F03
2B | ... ... | ... ... | ... ...
2C | A#4 ... | G#2 ... | G#5 F05
2D | === ... | ... ... | === ...
2E | D#4 ... | G#4 ... | B-4 F03
2F | ... ... | ... ... | ... ...
30 | F#5 ... | F-3 210 | D#5 F05
31 | === ... | C-1 320 | === ...
32 | G#4 ... | G#1 ... | C#6 F03
33 | === ... | ... ... | === ...
34 | A#4 ... | G#2 ... | G#5 F05
35 | === ... | ... ... | === ...
36 | B-4 ... | ... ... | D#5 F03
37 | === ... | G#1 ... | === ...
38 | D#5 ... | C-4 220 | C#6 F05
39 | === ... | C-3 220 | === ...
3A | G#4 ... | G#2 ... | G#5 F03
3B | === ... | ... ... | === ...
3C | A#4 ... | G#3 308 | D#5 F05
3D | === ... | ... 308 | === ...
3E | B-4 ... | G#2 308 | C#6 F03
3F | === ... | ... 308 | === ...

Order 12

00 | D#4 ... | F-3 210 | D#5 F05
01 | === ... | C-1 320 | === ...
02 | G#4 ... | E-2 ... | G#5 F03
03 | === ... | ... ... | === ...
04 | A#4 ... | E-1 ... | F#6 F05
05 | === ... | ... ... | === ...
06 | B-4 ... | E-2 ... | G#5 F03
07 | === ... | G#1 ... | === ...
08 | D#5 ... | C-4 220 | D#5 F05
09 | === ... | C-3 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | A#4 ... | E-2 ... | B-5 F05
0D | === ... | ... ... | === ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | F#5 ... | F-3 210 | D#6 F05
11 | === ... | C-1 320 | === ...
12 | G#4 ... | E-1 ... | G#5 F03
13 | === ... | ... ... | === ...
14 | A#4 ... | E-2 ... | F#6 F05
15 | === ... | ... ... | === ...
16 | B-4 ... | ... ... | G#5 F03
17 | === ... | E-1 ... | === ...
18 | D#5 ... | C-4 220 | B-5 F05
19 | === ... | C-3 220 | === ...
1A | G#4 ... | E-2 204 | G#5 F03
1B | === ... | E-1 304 | === ...
1C | A#4 ... | ... 304 | D#6 F05
1D | === ... | ... 304 | === ...
1E | B-4 ... | ... 310 | G#5 F03
1F | === ... | ... ... | === ...
20 | D#4 ... | F-3 210 | D#6 F05
21 | === ... | C-1 320 | === ...
22 | G#4 ... | E-2 ... | G#5 F03
23 | === ... | ... ... | === ...
24 | A#4 ... | E-1 ... | F#6 F05
25 | === ... | ... ... | === ...
26 | B-4 ... | E-2 ... | G#5 F03
27 | === ... | E-1 ... | === ...
28 | D#5 ... | C-4 220 | D#5 F05
29 | === ... | C-3 220 | === ...
2A | D#4 ... | G#4 ... | B-4 F03
2B | ... ... | ... ... | ... ...
2C | A#4 ... | E-2 ... | B-5 F05
2D | === ... | ... ... | === ...
2E | D#4 ... | G#4 ... | B-4 F03
2F | ... ... | ... ... | ... ...
30 | F#5 ... | F-3 210 | D#5 F05
31 | === ... | C-1 320 | === ...
32 | G#4 ... | E-1 ... | G#5 F03
33 | === ... | ... ... | === ...
34 | A#4 ... | E-2 ... | F#6 F05
35 | === ... | ... ... | === ...
36 | B-4 ... | ... ... | G#5 F03
37 | === ... | E-1 ... | === ...
38 | D#5 ... | C-4 220 | B-5 F05
39 | === ... | C-3 220 | === ...
3A | G#4 ... | E-2 ... | G#5 F03
3B | === ... | ... ... | === ...
3C | A#4 ... | E-4 210 | D#5 F05
3D | === ... | E-3 320 | === ...
3E | B-4 ... | E-2 ... | G#5 F03
3F | === ... | ... ... | === ...

Order 13

00 | D#4 ... | F-3 210 | D#5 F05
01 | === ... | C-1 320 | === ...
02 | G#4 ... | C#2 ... | B-5 F03
03 | === ... | ... ... | === ...
04 | A#4 ... | C#1 ... | G#5 F05
05 | === ... | ... ... | === ...
06 | B-4 ... | C#2 ... | D#5 F03
07 | === ... | C#1 ... | === ...
08 | D#5 ... | C-4 220 | B-5 F05
09 | === ... | C-3 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | A#4 ... | C#2 ... | D#5 F05
0D | === ... | ... ... | === ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | F#5 ... | F-3 210 | D#5 F05
11 | === ... | C-1 320 | === ...
12 | G#4 ... | C#1 ... | A#5 F03
13 | === ... | ... ... | === ...
14 | A#4 ... | C#2 ... | G#5 F05
15 | === ... | ... ... | === ...
16 | B-4 ... | ... ... | D#5 F03
17 | === ... | C#1 ... | === ...
18 | D#5 ... | C-4 220 | A#5 F05
19 | === ... | C-3 220 | === ...
1A | G#4 ... | G#2 204 | G#5 F03
1B | === ... | G#1 304 | === ...
1C | A#4 ... | ... 304 | D#5 F05
1D | === ... | ... 304 | === ...
1E | B-4 ... | ... 310 | A#5 F03
1F | === ... | ... ... | === ...
20 | D#4 ... | F-3 210 | G#5 F05
21 | === ... | C-1 320 | === ...
22 | G#4 ... | C#2 ... | D#5 F03
23 | === ... | ... ... | === ...
24 | A#4 ... | C#1 ... | D#6 F05
25 | === ... | ... ... | === ...
26 | B-4 ... | C#2 ... | G#5 F03
27 | === ... | C#1 ... | === ...
28 | D#5 ... | C-4 220 | D#5 F05
29 | === ... | C-3 220 | === ...
2A | D#4 ... | G#4 ... | B-4 F03
2B | ... ... | ... ... | ... ...
2C | A#4 ... | C#2 ... | G#5 F05
2D | === ... | ... ... | === ...
2E | D#4 ... | G#4 ... | B-4 F03
2F | ... ... | ... ... | ... ...
30 | F#5 ... | F-3 210 | D#5 F05
31 | === ... | C-1 320 | === ...
32 | G#4 ... | C#1 ... | C#6 F03
33 | === ... | ... ... | === ...
34 | A#4 ... | C#2 ... | G#5 F05
35 | === ... | ... ... | === ...
36 | B-4 ... | ... ... | D#5 F03
37 | === ... | C#1 ... | === ...
38 | D#5 ... | C-4 220 | C#6 F05
39 | === ... | C-3 220 | === ...
3A | G#4 ... | G#2 ... | G#5 F03
3B | === ... | ... ... | === ...
3C | A#4 ... | C#2 110 | D#5 F05
3D | === ... | C#3 320 | === ...
3E | B-4 ... | C#4 ... | C#6 F03
3F | === ... | C#3 ... | === ...

Order 14

00 | D#4 ... | F-3 210 | D#5 F05
01 | === ... | C-1 320 | === ...
02 | G#4 ... | G#2 ... | B-5 F03
03 | === ... | ... ... | === ...
04 | A#4 ... | G#1 ... | G#5 F05
05 | === ... | ... ... | === ...
06 | B-4 ... | G#2 ... | D#5 F03
07 | === ... | G#1 ... | === ...
08 | D#5 ... | C-4 220 | B-5 F05
09 | === ... | C-3 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | A#4 ... | G#2 ... | D#5 F05
0D | === ... | ... ... | === ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | F#5 ... | F-3 210 | D#5 F05
11 | === ... | C-1 320 | === ...
12 | G#4 ... | G#1 ... | A#5 F03
13 | === ... | ... ... | === ...
14 | A#4 ... | G#2 ... | G#5 F05
15 | === ... | ... ... | === ...
16 | B-4 ... | ... ... | D#5 F03
17 | === ... | G#1 ... | === ...
18 | D#5 ... | C-4 220 | A#5 F05
19 | === ... | C-3 220 | === ...
1A | G#4 ... | G#2 204 | G#5 F03
1B | === ... | G#1 304 | === ...
1C | A#4 ... | ... 304 | D#5 F05
1D | === ... | ... 304 | === ...
1E | B-4 ... | ... 310 | A#5 F03
1F | === ... | ... ... | === ...
20 | D#4 ... | F-3 210 | G#5 F05
21 | === ... | C-1 320 | === ...
22 | G#4 ... | G#2 ... | D#5 F03
23 | === ... | ... ... | === ...
24 | A#4 ... | G#1 ... | D#6 F05
25 | === ... | ... ... | === ...
26 | B-4 ... | G#2 ... | G#5 F03
27 | === ... | G#1 ... | === ...
28 | D#5 ... | C-4 220 | D#5 F05
29 | === ... | C-3 220 | === ...
2A | D#4 ... | G#4 ... | B-4 F03
2B | ... ... | ... ... | ... ...
2C | A#4 ... | G#2 ... | G#5 F05
2D | === ... | ... ... | === ...
2E | D#4 ... | G#4 ... | B-4 F03
2F | ... ... | ... ... | ... ...
30 | F#5 ... | F-3 210 | D#5 F05
31 | === ... | C-1 320 | === ...
32 | G#4 ... | G#1 ... | C#6 F03
33 | === ... | ... ... | === ...
34 | A#4 ... | G#2 ... | G#5 F05
35 | === ... | ... ... | === ...
36 | B-4 ... | ... ... | D#5 F03
37 | === ... | G#1 ... | === ...
38 | D#5 ... | C-4 220 | C#6 F05
39 | === ... | C-3 220 | === ...
3A | G#4 ... | G#2 ... | G#5 F03
3B | === ... | ... ... | === ...
3C | G#5 ... | G#2 110 | D#5 F05
3D | ... ... | G#3 320 | === ...
3E | B-4 ... | G#4 ... | C#6 F03
3F | === ... | G#3 ... | === ...

Order 11

00 | D#4 ... | F-3 210 | D#5 F05
01 | === ... | C-1 320 | === ...
02 | G#4 ... | G#2 ... | B-5 F03
03 | === ... | ... ... | === ...
04 | A#4 ... | G#1 ... | G#5 F05
05 | === ... | ... ... | === ...
06 | B-4 ... | G#2 ... | D#5 F03
07 | === ... | G#1 ... | === ...
08 | D#5 ... | C-4 220 | B-5 F05
09 | === ... | C-3 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | A#4 ... | G#2 ... | D#5 F05
0D | === ... | ... ... | === ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | F#5 ... | F-3 210 | D#5 F05
11 | === ... | C-1 320 | === ...
12 | G#4 ... | G#1 ... | A#5 F03
13 | === ... | ... ... | === ...
14 | A#4 ... | G#2 ... | G#5 F05
15 | === ... | ... ... | === ...
16 | B-4 ... | ... ... | D#5 F03
17 | === ... | G#1 ... | === ...
18 | D#5 ... | C-4 220 | A#5 F05
19 | === ... | C-3 220 | === ...
1A | G#4 ... | G#2 204 | G#5 F03
1B | === ... | G#1 304 | === ...
1C | A#4 ... | ... 304 | D#5 F05
1D | === ... | ... 304 | === ...
1E | B-4 ... | ... 310 | A#5 F03
1F | === ... | ... ... | === ...
20 | D#4 ... | F-3 210 | G#5 F05
21 | === ... | C-1 320 | === ...
22 | G#4 ... | G#2 ... | D#5 F03
23 | === ... | ... ... | === ...
24 | A#4 ... | G#1 ... | D#6 F05
25 | === ... | ... ... | === ...
26 | B-4 ... | G#2 ... | G#5 F03
27 | === ... | G#1 ... | === ...
28 | D#5 ... | C-4 220 | D#5 F05
29 | === ... | C-3 220 | === ...
2A | D#4 ... | G#4 ... | B-4 F03
2B | ... ... | ... ... | ... ...
2C | A#4 ... | G#2 ... | G#5 F05
2D | === ... | ... ... | === ...
2E | D#4 ... | G#4 ... | B-4 F03
2F | ... ... | ... ... | ... ...
30 | F#5 ... | F-3 210 | D#5 F05
31 | === ... | C-1 320 | === ...
32 | G#4 ... | G#1 ... | C#6 F03
33 | === ... | ... ... | === ...
34 | A#4 ... | G#2 ... | G#5 F05
35 | === ... | ... ... | === ...
36 | B-4 ... | ... ... | D#5 F03
37 | === ... | G#1 ... | === ...
38 | D#5 ... | C-4 220 | C#6 F05
39 | === ... | C-3 220 | === ...
3A | G#4 ... | G#2 ... | G#5 F03
3B | === ... | ... ... | === ...
3C | A#4 ... | G#3 308 | D#5 F05
3D | === ... | ... 308 | === ...
3E | B-4 ... | G#2 308 | C#6 F03
3F | === ... | ... 308 | === ...

Order 12

00 | D#4 ... | F-3 210 | D#5 F05
01 | === ... | C-1 320 | === ...
02 | G#4 ... | E-2 ... | G#5 F03
03 | === ... | ... ... | === ...
04 | A#4 ... | E-1 ... | F#6 F05
05 | === ... | ... ... | === ...
06 | B-4 ... | E-2 ... | G#5 F03
07 | === ... | G#1 ... | === ...
08 | D#5 ... | C-4 220 | D#5 F05
09 | === ... | C-3 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | A#4 ... | E-2 ... | B-5 F05
0D | === ... | ... ... | === ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | F#5 ... | F-3 210 | D#6 F05
11 | === ... | C-1 320 | === ...
12 | G#4 ... | E-1 ... | G#5 F03
13 | === ... | ... ... | === ...
14 | A#4 ... | E-2 ... | F#6 F05
15 | === ... | ... ... | === ...
16 | B-4 ... | ... ... | G#5 F03
17 | === ... | E-1 ... | === ...
18 | D#5 ... | C-4 220 | B-5 F05
19 | === ... | C-3 220 | === ...
1A | G#4 ... | E-2 204 | G#5 F03
1B | === ... | E-1 304 | === ...
1C | A#4 ... | ... 304 | D#6 F05
1D | === ... | ... 304 | === ...
1E | B-4 ... | ... 310 | G#5 F03
1F | === ... | ... ... | === ...
20 | D#4 ... | F-3 210 | D#6 F05
21 | === ... | C-1 320 | === ...
22 | G#4 ... | E-2 ... | G#5 F03
23 | === ... | ... ... | === ...
24 | A#4 ... | E-1 ... | F#6 F05
25 | === ... | ... ... | === ...
26 | B-4 ... | E-2 ... | G#5 F03
27 | === ... | E-1 ... | === ...
28 | D#5 ... | C-4 220 | D#5 F05
29 | === ... | C-3 220 | === ...
2A | D#4 ... | G#4 ... | B-4 F03
2B | ... ... | ... ... | ... ...
2C | A#4 ... | E-2 ... | B-5 F05
2D | === ... | ... ... | === ...
2E | D#4 ... | G#4 ... | B-4 F03
2F | ... ... | ... ... | ... ...
30 | F#5 ... | F-3 210 | D#5 F05
31 | === ... | C-1 320 | === ...
32 | G#4 ... | E-1 ... | G#5 F03
33 | === ... | ... ... | === ...
34 | A#4 ... | E-2 ... | F#6 F05
35 | === ... | ... ... | === ...
36 | B-4 ... | ... ... | G#5 F03
37 | === ... | E-1 ... | === ...
38 | D#5 ... | C-4 220 | B-5 F05
39 | === ... | C-3 220 | === ...
3A | G#4 ... | E-2 ... | G#5 F03
3B | === ... | ... ... | === ...
3C | A#4 ... | E-4 210 | D#5 F05
3D | === ... | E-3 320 | === ...
3E | B-4 ... | E-2 ... | G#5 F03
3F | === ... | ... ... | === ...

Order 13

00 | D#4 ... | F-3 210 | D#5 F05
01 | === ... | C-1 320 | === ...
02 | G#4 ... | C#2 ... | B-5 F03
03 | === ... | ... ... | === ...
04 | A#4 ... | C#1 ... | G#5 F05
05 | === ... | ... ... | === ...
06 | B-4 ... | C#2 ... | D#5 F03
07 | === ... | C#1 ... | === ...
08 | D#5 ... | C-4 220 | B-5 F05
09 | === ... | C-3 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | A#4 ... | C#2 ... | D#5 F05
0D | === ... | ... ... | === ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | F#5 ... | F-3 210 | D#5 F05
11 | === ... | C-1 320 | === ...
12 | G#4 ... | C#1 ... | A#5 F03
13 | === ... | ... ... | === ...
14 | A#4 ... | C#2 ... | G#5 F05
15 | === ... | ... ... | === ...
16 | B-4 ... | ... ... | D#5 F03
17 | === ... | C#1 ... | === ...
18 | D#5 ... | C-4 220 | A#5 F05
19 | === ... | C-3 220 | === ...
1A | G#4 ... | G#2 204 | G#5 F03
1B | === ... | G#1 304 | === ...
1C | A#4 ... | ... 304 | D#5 F05
1D | === ... | ... 304 | === ...
1E | B-4 ... | ... 310 | A#5 F03
1F | === ... | ... ... | === ...
20 | D#4 ... | F-3 210 | G#5 F05
21 | === ... | C-1 320 | === ...
22 | G#4 ... | C#2 ... | D#5 F03
23 | === ... | ... ... | === ...
24 | A#4 ... | C#1 ... | D#6 F05
25 | === ... | ... ... | === ...
26 | B-4 ... | C#2 ... | G#5 F03
27 | === ... | C#1 ... | === ...
28 | D#5 ... | C-4 220 | D#5 F05
29 | === ... | C-3 220 | === ...
2A | D#4 ... | G#4 ... | B-4 F03
2B | ... ... | ... ... | ... ...
2C | A#4 ... | C#2 ... | G#5 F05
2D | === ... | ... ... | === ...
2E | D#4 ... | G#4 ... | B-4 F03
2F | ... ... | ... ... | ... ...
30 | F#5 ... | F-3 210 | D#5 F05
31 | === ... | C-1 320 | === ...
32 | G#4 ... | C#1 ... | C#6 F03
33 | === ... | ... ... | === ...
34 | A#4 ... | C#2 ... | G#5 F05
35 | === ... | ... ... | === ...
36 | B-4 ... | ... ... | D#5 F03
37 | === ... | C#1 ... | === ...
38 | D#5 ... | C-4 220 | C#6 F05
39 | === ... | C-3 220 | === ...
3A | G#4 ... | G#2 ... | G#5 F03
3B | === ... | ... ... | === ...
3C | A#4 ... | C#2 110 | D#5 F05
3D | === ... | C#3 320 | === ...
3E | B-4 ... | C#4 ... | C#6 F03
3F | === ... | C#3 ... | === ...

Order 1D

00 | D#4 ... | F-3 210 | D#5 F05
01 | === ... | C-1 320 | === ...
02 | G#4 ... | G#2 ... | B-5 F03
03 | === ... | ... ... | === ...
04 | A#4 ... | G#1 ... | G#5 F05
05 | === ... | ... ... | === ...
06 | B-4 ... | G#2 ... | D#5 F03
07 | === ... | G#1 ... | === ...
08 | D#5 ... | C-4 220 | B-5 F05
09 | === ... | C-3 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | A#4 ... | G#2 ... | D#5 F05
0D | === ... | ... ... | === ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | F#5 ... | F-3 210 | D#5 F05
11 | === ... | C-1 320 | === ...
12 | G#4 ... | G#1 ... | A#5 F03
13 | === ... | ... ... | === ...
14 | A#4 ... | G#2 ... | G#5 F05
15 | === ... | ... ... | === ...
16 | B-4 ... | ... ... | D#5 F03
17 | === ... | G#1 ... | === ...
18 | D#5 ... | C-4 220 | A#5 F05
19 | === ... | C-3 220 | === ...
1A | G#4 ... | G#2 204 | G#5 F03
1B | === ... | G#1 304 | === ...
1C | A#4 ... | ... 304 | D#5 F05
1D | === ... | ... 304 | === ...
1E | B-4 ... | ... 310 | A#5 F03
1F | === ... | ... ... | === ...
20 | D#4 ... | F-3 210 | G#5 F05
21 | === ... | C-1 320 | === ...
22 | G#4 ... | G#2 ... | D#5 F03
23 | === ... | ... ... | === ...
24 | A#4 ... | G#1 ... | D#6 F05
25 | === ... | ... ... | === ...
26 | B-4 ... | G#2 ... | G#5 F03
27 | === ... | G#1 ... | === ...
28 | D#5 ... | C-4 220 | D#5 F05
29 | === ... | C-3 220 | === ...
2A | D#4 ... | G#4 ... | B-4 F03
2B | ... ... | ... ... | ... ...
2C | A#4 ... | G#2 ... | G#5 F05
2D | === ... | ... ... | === ...
2E | D#4 ... | G#4 ... | B-4 F03
2F | ... ... | ... ... | ... ...
30 | F#5 ... | F-3 210 | D#6 F05
31 | === ... | C-1 320 | === ...
32 | G#4 ... | G#1 ... | G#5 ...
33 | === ... | ... ... | === ...
34 | B-5 ... | ... ... | F#6 F06
35 | === ... | === ... | === ...
36 | B-4 ... | ... ... | G#5 ...
37 | === ... | ... ... | === ...
38 | D#5 ... | ... ... | B-5 F07
39 | === ... | ... ... | === ...
3A | G#4 ... | ... ... | G#5 F08
3B | === ... | ... ... | === ...
3C | A#5 ... | ... ... | D#6 F09
3D | ... ... | ... ... | === ...
3E | B-4 ... | ... ... | G#5 F0A
3F | G#1 320 | ... ... | === ...

Order 1E

00 | G#1 F06 | F-3 210 | C-4 228
01 | ... ... | C-1 320 | C-3 228
02 | D#4 ... | G#4 ... | B-4 ...
03 | ... ... | ... ... | ... ...
04 | === ... | === 204 | === ...
05 | ... ... | === 308 | ... ...
06 | ... ... | ... 308 | ... ...
07 | ... ... | === 308 | ... ...
08 | D#4 ... | C-4 228 | B-4 ...
09 | ... ... | C-3 228 | ... ...
0A | === ... | === ... | === ...
0B | ... ... | ... ... | ... ...
0C | ... ... | ... ... | ... ...
0D | ... ... | ... ... | ... ...
0E | D#4 ... | ... ... | B-4 ...
0F | === ... | === ... | === ...
10 | ... ... | ... ... | ... ...
11 | ... ... | ... ... | ... ...
12 | ... ... | ... ... | ... ...
13 | ... ... | ... ... | ... ...
14 | ... ... | ... ... | ... ...
15 | ... ... | ... ... | ... ...
16 | ... ... | ... ... | ... ...
17 | ... ... | ... ... | ... ...
18 | ... ... | ... ... | ... ...
19 | ... ... | ... ... | ... ...
1A | ... ... | ... ... | ... ...
1B | ... ... | ... ... | ... ...
1C | ... ... | ... ... | ... ...
1D | ... ... | ... ... | ... ...
1E | ... ... | ... ... | ... ...
1F | ... ... | ... ... | ... ...
20 | ... ... | ... ... | ... ...
21 | ... ... | ... ... | ... ...
22 | ... ... | ... ... | ... ...
23 | ... ... | ... ... | ... ...
24 | ... ... | ... ... | ... ...
25 | ... ... | ... ... | ... ...
26 | ... ... | ... ... | ... ...
27 | ... ... | ... ... | ... ...
28 | ... ... | ... ... | ... ...
29 | ... ... | ... ... | ... ...
2A | ... ... | ... ... | ... ...
2B | ... ... | ... ... | ... ...
2C | ... ... | ... ... | ... ...
2D | ... ... | ... ... | ... ...
2E | ... ... | ... ... | ... ...
2F | ... ... | ... ... | ... ...
30 | ... ... | ... ... | ... ...
31 | ... ... | ... ... | ... ...
32 | ... ... | ... ... | ... ...
33 | ... ... | ... ... | ... ...
34 | ... ... | ... ... | ... ...
35 | ... ... | ... ... | ... ...
36 | ... ... | ... ... | ... ...
37 | ... ... | ... ... | ... ...
38 | ... ... | ... ... | ... ...
39 | ... ... | ... ... | ... ...
3A | ... ... | ... ... | ... ...
3B | ... ... | ... ... | ... ...
3C | ... ... | ... ... | ... ...
3D | ... ... | ... ... | ... ...
3E | ... ... | ... ... | ... ...
3F | ... ... | ... ... | ... ...

